"LOCATION","Country","SKILL","Skills","Value","Flag Codes","Flags"
"AUS","Australia","10-3","engineering, mechanics and technology",-0.187,,
"AUS","Australia","10-4","food production",-0.013,,
"AUS","Australia","10-5","installation and maintenance",-0.305,,
"AUS","Australia","10-6","production and processing",-0.318,,
"AUS","Australia","10-7","quality control analysis",-0.163,,
"AUS","Australia","10-8","telecommunications",-0.102,,
"AUS","Australia","10-9","transportation",-0.372,,
"AUS","Australia","10","production and technology knowledge",-0.409,,
"AUS","Australia","11-1","administration and management",-0.155,,
"AUS","Australia","11-2","management of financial resources",-0.161,,
"AUS","Australia","11-3","management of material resources",-0.371,,
"AUS","Australia","11-4","management of personnel resources",-0.096,,
"AUS","Australia","11-5","time management",-0.15,,
"AUS","Australia","11","resource management",-0.35,,
"AUS","Australia","12-1","biology",-0.044,,
"AUS","Australia","12-2","chemistry",-0.051,,
"AUS","Australia","12-3","geography",-0.149,,
"AUS","Australia","12-4","physics",-0.109,,
"AUS","Australia","12-5","sociology and anthropology",0.152,,
"AUS","Australia","12","scientific knowledge",-0.056,,
"AUS","Australia","13-1","coordination",-0.168,,
"AUS","Australia","13-2","judgment and decision making",-0.087,,
"AUS","Australia","13-3","persuasion and negotiation",-0.048,,
"AUS","Australia","13-4","social perceptiveness",-0.26,,
"AUS","Australia","13","social skills",-0.266,,
"AUS","Australia","14-1","training and education",0.275,,
"AUS","Australia","14","training and education",0.566,,
"AUT","Austria","01-1","fine arts",-0.032,,
"AUT","Austria","01-2","history and archaeology",-0.015,,
"AUT","Austria","01-3","philosophy and theology",0.124,,
"AUT","Austria","01","arts and humanities knowledge",0.06,,
"AUT","Austria","02-1","adaptability/resilience",0.044,,
"AUT","Austria","02-2","motivation/commitment",0.096,,
"AUT","Austria","02-3","self-management/rigour",0.047,,
"AUT","Austria","02-4","values",-0.008,,
"AUT","Austria","02","attitudes",0.093,,
"AUT","Austria","03-1","clerical",-0.009,,
"AUT","Austria","03-2","customer and personal service",0.103,,
"AUT","Austria","03-3","sales and marketing",-0.015,,
"AUT","Austria","03","business processes",0.058,,
"AUT","Austria","04-1","learning",-0.299,,
"AUT","Austria","04-2","originality",-0.053,,
"AUT","Austria","04-3","quantitative abilities",0.017,,
"AUT","Austria","04-4","reasoning and problem-solving",-0.079,,
"AUT","Austria","04","cognitive skills",-0.192,,
"AUT","Austria","05-1","active listening",-0.026,,
"AUT","Austria","05-2","communications and media",0.009,,
"AUT","Austria","05-3","reading comprehension",-0.223,,
"AUT","Austria","05-4","speaking",-0.031,,
"AUT","Austria","05-5","writing",-0.042,,
"AUT","Austria","05","communication skills",-0.111,,
"AUT","Austria","06-1","computer programming",-0.058,,
"AUT","Austria","06-2","digital content creation",0.091,,
"AUT","Austria","06-3","digital data processing",-0.038,,
"AUT","Austria","06-4","ict safety, networks and servers",-0.019,,
"AUT","Austria","06-5","office tools and collaboration software",-0.021,,
"AUT","Austria","06-6","web development and cloud technologies",-0.021,,
"AUT","Austria","06","digital skills",-0.012,,
"AUT","Austria","07-1","law and government",-0.08,,
"AUT","Austria","07-2","public safety and security",0.09,,
"AUT","Austria","07","law and public safety knowledge",0.03,,
"AUT","Austria","08-1","medicine and dentistry",-0.011,,
"AUT","Austria","08-2","psychology, therapy, counselling",-0.105,,
"AUT","Austria","08","medicine knowledge",-0.109,,
"AUT","Austria","09-1","auditory and speech abilities",0.002,,
"AUT","Austria","09-2","physical abilities",0.131,,
"AUT","Austria","09-3","psychomotor abilities",0.155,,
"AUT","Austria","09","physical skills",0.198,,
"AUT","Austria","10-1","building and construction",0.09,,
"AUT","Austria","10-2","design",0.023,,
"AUT","Austria","10-3","engineering, mechanics and technology",0.039,,
"AUT","Austria","10-4","food production",0.194,,
"AUT","Austria","10-5","installation and maintenance",0.135,,
"AUT","Austria","10-6","production and processing",-0.041,,
"AUT","Austria","10-7","quality control analysis",0.022,,
"AUT","Austria","10-8","telecommunications",0.038,,
"AUT","Austria","10-9","transportation",0.063,,
"AUT","Austria","10","production and technology knowledge",0.131,,
"AUT","Austria","11-1","administration and management",-0.128,,
"AUT","Austria","11-2","management of financial resources",-0.071,,
"AUT","Austria","11-3","management of material resources",0.101,,
"AUT","Austria","11-4","management of personnel resources",-0.11,,
"AUT","Austria","11-5","time management",0.017,,
"AUT","Austria","11","resource management",-0.058,,
"AUT","Austria","12-1","biology",0.039,,
"AUT","Austria","12-2","chemistry",0.01,,
"AUT","Austria","12-3","geography",0.067,,
"AUT","Austria","12-4","physics",-0.022,,
"AUT","Austria","12-5","sociology and anthropology",0.028,,
"AUT","Austria","12","scientific knowledge",0.053,,
"AUT","Austria","13-1","coordination",-0.006,,
"AUT","Austria","13-2","judgment and decision making",-0.128,,
"AUT","Austria","13-3","persuasion and negotiation",-0.271,,
"AUT","Austria","13-4","social perceptiveness",0.076,,
"AUT","Austria","13","social skills",-0.143,,
"AUT","Austria","14-1","training and education",-0.084,,
"AUT","Austria","14","training and education",-0.159,,
"BEL","Belgium","01-1","fine arts",-0.001,,
"BEL","Belgium","01-2","history and archaeology",-0.08,,
"BEL","Belgium","01-3","philosophy and theology",0.252,,
"BEL","Belgium","01","arts and humanities knowledge",0.13,,
"BEL","Belgium","02-1","adaptability/resilience",-0.199,,
"BEL","Belgium","02-2","motivation/commitment",-0.626,,
"BEL","Belgium","02-3","self-management/rigour",-0.372,,
"BEL","Belgium","02-4","values",-0.043,,
"BEL","Belgium","02","attitudes",-0.582,,
"BEL","Belgium","03-1","clerical",0.019,,
"BEL","Belgium","03-2","customer and personal service",-0.682,,
"BEL","Belgium","03-3","sales and marketing",-0.26,,
"BEL","Belgium","03","business processes",-0.573,,
"BEL","Belgium","04-1","learning",0.327,,
"BEL","Belgium","04-2","originality",0.056,,
"BEL","Belgium","04-3","quantitative abilities",-0.308,,
"BEL","Belgium","04-4","reasoning and problem-solving",0.145,,
"BEL","Belgium","04","cognitive skills",0.152,,
"BEL","Belgium","05-1","active listening",-0.522,,
"BEL","Belgium","05-2","communications and media",-0.134,,
"BEL","Belgium","05-3","reading comprehension",0.233,,
"BEL","Belgium","05-4","speaking",-0.027,,
"BEL","Belgium","05-5","writing",0.07,,
"BEL","Belgium","05","communication skills",-0.108,,
"BEL","Belgium","06-1","computer programming",0.11,,
"BEL","Belgium","06-2","digital content creation",0.154,,
"BEL","Belgium","06-3","digital data processing",0.043,,
"BEL","Belgium","06-4","ict safety, networks and servers",0.029,,
"BEL","Belgium","06-5","office tools and collaboration software",0.046,,
"BEL","Belgium","06-6","web development and cloud technologies",-0.094,,
"BEL","Belgium","06","digital skills",0.106,,
"BEL","Belgium","07-1","law and government",0.273,,
"BEL","Belgium","07-2","public safety and security",-0.195,,
"BEL","Belgium","07","law and public safety knowledge",0.128,,
"BEL","Belgium","08-1","medicine and dentistry",0.131,,
"BEL","Belgium","08-2","psychology, therapy, counselling",0.552,,
"BEL","Belgium","08","medicine knowledge",0.702,,
"BEL","Belgium","09-1","auditory and speech abilities",0.004,,
"BEL","Belgium","09-2","physical abilities",-0.675,,
"BEL","Belgium","09-3","psychomotor abilities",-0.457,,
"BEL","Belgium","09","physical skills",-0.705,,
"BEL","Belgium","10-1","building and construction",-0.56,,
"BEL","Belgium","10-2","design",-0.327,,
"BEL","Belgium","10-3","engineering, mechanics and technology",-0.07,,
"BEL","Belgium","10-4","food production",-0.582,,
"BEL","Belgium","10-5","installation and maintenance",-0.993,,
"BEL","Belgium","10-6","production and processing",-0.012,,
"BEL","Belgium","10-7","quality control analysis",0.028,,
"BEL","Belgium","10-8","telecommunications",0.026,,
"BEL","Belgium","10-9","transportation",-0.319,,
"BEL","Belgium","10","production and technology knowledge",-0.582,,
"BEL","Belgium","11-1","administration and management",0.094,,
"BEL","Belgium","11-2","management of financial resources",0.12,,
"BEL","Belgium","11-3","management of material resources",-0.758,,
"BEL","Belgium","11-4","management of personnel resources",0.066,,
"BEL","Belgium","11-5","time management",-0.174,,
"BEL","Belgium","11","resource management",-0.211,,
"BEL","Belgium","12-1","biology",0.001,,
"BEL","Belgium","12-2","chemistry",0.047,,
"BEL","Belgium","12-3","geography",0.042,,
"BEL","Belgium","12-4","physics",-0.034,,
"BEL","Belgium","12-5","sociology and anthropology",0.125,,
"BEL","Belgium","12","scientific knowledge",0.078,,
"BEL","Belgium","13-1","coordination",-0.152,,
"BEL","Belgium","13-2","judgment and decision making",0.099,,
"BEL","Belgium","13-3","persuasion and negotiation",0.434,,
"BEL","Belgium","13-4","social perceptiveness",-0.312,,
"BEL","Belgium","13","social skills",0.093,,
"BEL","Belgium","14-1","training and education",0.123,,
"BEL","Belgium","14","training and education",0.253,,
"CAN","Canada","01-1","fine arts",0.053,,
"CAN","Canada","01-2","history and archaeology",0.002,,
"CAN","Canada","01-3","philosophy and theology",-0.219,,
"CAN","Canada","01","arts and humanities knowledge",-0.091,,
"CAN","Canada","02-1","adaptability/resilience",0.117,,
"CAN","Canada","02-2","motivation/commitment",0.15,,
"CAN","Canada","02-3","self-management/rigour",-0.159,,
"CAN","Canada","02-4","values",-0.104,,
"CAN","Canada","02","attitudes",0.035,,
"CAN","Canada","03-1","clerical",-0.284,,
"CAN","Canada","03-2","customer and personal service",0.099,,
"CAN","Canada","03-3","sales and marketing",0.173,,
"CAN","Canada","03","business processes",0.039,,
"CAN","Canada","04-1","learning",0.254,,
"CAN","Canada","04-2","originality",0.068,,
"CAN","Canada","04-3","quantitative abilities",-0.302,,
"CAN","Canada","04-4","reasoning and problem-solving",-0.057,,
"CAN","Canada","04","cognitive skills",0.025,,
"CAN","Canada","05-1","active listening",0.122,,
"CAN","Canada","05-2","communications and media",0.023,,
"CAN","Canada","05-3","reading comprehension",-0.172,,
"CAN","Canada","05-4","speaking",0.023,,
"CAN","Canada","05-5","writing",-0.057,,
"CAN","Canada","05","communication skills",-0.003,,
"CAN","Canada","06-1","computer programming",0.004,,
"CAN","Canada","06-2","digital content creation",-0.121,,
"CAN","Canada","06-3","digital data processing",-0.176,,
"CAN","Canada","06-4","ict safety, networks and servers",-0.025,,
"CAN","Canada","06-5","office tools and collaboration software",-0.164,,
"CAN","Canada","06-6","web development and cloud technologies",-0.02,,
"CAN","Canada","06","digital skills",-0.156,,
"CAN","Canada","07-1","law and government",-0.122,,
"CAN","Canada","07-2","public safety and security",-0.138,,
"CAN","Canada","07","law and public safety knowledge",-0.244,,
"CAN","Canada","08-1","medicine and dentistry",0.235,,
"CAN","Canada","08-2","psychology, therapy, counselling",0.416,,
"CAN","Canada","08","medicine knowledge",0.67,,
"CAN","Canada","09-1","auditory and speech abilities",0.054,,
"CAN","Canada","09-2","physical abilities",-0.137,,
"CAN","Canada","09-3","psychomotor abilities",-0.229,,
"CAN","Canada","09","physical skills",-0.185,,
"CAN","Canada","10-1","building and construction",-0.195,,
"CAN","Canada","10-2","design",0.099,,
"CAN","Canada","10-3","engineering, mechanics and technology",-0.289,,
"CAN","Canada","10-4","food production",0.1,,
"CAN","Canada","10-5","installation and maintenance",-0.183,,
"CAN","Canada","10-6","production and processing",-0.302,,
"CAN","Canada","10-7","quality control analysis",-0.135,,
"CAN","Canada","10-8","telecommunications",-0.207,,
"CAN","Canada","10-9","transportation",-0.718,,
"CAN","Canada","10","production and technology knowledge",-0.369,,
"CAN","Canada","11-1","administration and management",-0.055,,
"CAN","Canada","11-2","management of financial resources",-0.188,,
"CAN","Canada","11-3","management of material resources",0.261,,
"CAN","Canada","11-4","management of personnel resources",-0.009,,
"CAN","Canada","11-5","time management",-0.058,,
"CAN","Canada","11","resource management",0.011,,
"CAN","Canada","12-1","biology",-0.065,,
"CAN","Canada","12-2","chemistry",0.009,,
"CAN","Canada","12-3","geography",-0.067,,
"CAN","Canada","12-4","physics",-0.139,,
"CAN","Canada","12-5","sociology and anthropology",0.125,,
"CAN","Canada","12","scientific knowledge",-0.035,,
"CAN","Canada","13-1","coordination",0.019,,
"CAN","Canada","13-2","judgment and decision making",0.034,,
"CAN","Canada","13-3","persuasion and negotiation",-0.177,,
"CAN","Canada","13-4","social perceptiveness",-0.171,,
"CAN","Canada","13","social skills",-0.13,,
"CAN","Canada","14-1","training and education",0.223,,
"CAN","Canada","14","training and education",0.459,,
"CZE","Czechia","01-1","fine arts",0.008,,
"CZE","Czechia","01-2","history and archaeology",0.079,,
"CZE","Czechia","01-3","philosophy and theology",-0.041,,
"CZE","Czechia","01","arts and humanities knowledge",0.038,,
"CZE","Czechia","02-1","adaptability/resilience",0.017,,
"CZE","Czechia","02-2","motivation/commitment",0.068,,
"CZE","Czechia","02-3","self-management/rigour",0.01,,
"CZE","Czechia","02-4","values",0.035,,
"CZE","Czechia","02","attitudes",0.067,,
"CZE","Czechia","03-1","clerical",-0.221,,
"CZE","Czechia","03-2","customer and personal service",0.059,,
"CZE","Czechia","03-3","sales and marketing",0.007,,
"CZE","Czechia","03","business processes",-0.083,,
"CZE","Czechia","04-1","learning",0.111,,
"CZE","Czechia","04-2","originality",0.013,,
"CZE","Czechia","04-3","quantitative abilities",0.031,,
"CZE","Czechia","04-4","reasoning and problem-solving",-0.028,,
"CZE","Czechia","04","cognitive skills",0.069,,
"CZE","Czechia","05-1","active listening",-0.082,,
"CZE","Czechia","05-2","communications and media",0.014,,
"CZE","Czechia","05-3","reading comprehension",-0.104,,
"CZE","Czechia","05-4","speaking",0.012,,
"CZE","Czechia","05-5","writing",-0.032,,
"CZE","Czechia","05","communication skills",-0.069,,
"CZE","Czechia","06-1","computer programming",0.003,,
"CZE","Czechia","06-2","digital content creation",-0.014,,
"CZE","Czechia","06-3","digital data processing",-0.04,,
"CZE","Czechia","06-4","ict safety, networks and servers",0.027,,
"CZE","Czechia","06-5","office tools and collaboration software",-0.015,,
"CZE","Czechia","06-6","web development and cloud technologies",0.041,,
"CZE","Czechia","06","digital skills",0.006,,
"CZE","Czechia","07-1","law and government",-0.057,,
"CZE","Czechia","07-2","public safety and security",0.07,,
"CZE","Czechia","07","law and public safety knowledge",0.027,,
"CZE","Czechia","08-1","medicine and dentistry",-0.071,,
"CZE","Czechia","08-2","psychology, therapy, counselling",-0.15,,
"CZE","Czechia","08","medicine knowledge",-0.207,,
"CZE","Czechia","09-1","auditory and speech abilities",0.09,,
"CZE","Czechia","09-2","physical abilities",0.054,,
"CZE","Czechia","09-3","psychomotor abilities",-0.115,,
"CZE","Czechia","09","physical skills",0.039,,
"CZE","Czechia","10-1","building and construction",0.027,,
"CZE","Czechia","10-2","design",-0.014,,
"CZE","Czechia","10-3","engineering, mechanics and technology",-0.102,,
"CZE","Czechia","10-4","food production",0.071,,
"CZE","Czechia","10-5","installation and maintenance",0.028,,
"CZE","Czechia","10-6","production and processing",-0.195,,
"CZE","Czechia","10-7","quality control analysis",-0.031,,
"CZE","Czechia","10-8","telecommunications",-0.053,,
"CZE","Czechia","10-9","transportation",-0.042,,
"CZE","Czechia","10","production and technology knowledge",-0.057,,
"CZE","Czechia","11-1","administration and management",-0.004,,
"CZE","Czechia","11-2","management of financial resources",0.031,,
"CZE","Czechia","11-3","management of material resources",0.033,,
"CZE","Czechia","11-4","management of personnel resources",-0.009,,
"CZE","Czechia","11-5","time management",0.009,,
"CZE","Czechia","11","resource management",0.026,,
"CZE","Czechia","12-1","biology",-0.007,,
"CZE","Czechia","12-2","chemistry",0.027,,
"CZE","Czechia","12-3","geography",0.033,,
"CZE","Czechia","12-4","physics",-0.089,,
"CZE","Czechia","12-5","sociology and anthropology",-0.141,,
"CZE","Czechia","12","scientific knowledge",-0.059,,
"CZE","Czechia","13-1","coordination",0.008,,
"CZE","Czechia","13-2","judgment and decision making",-0.099,,
"CZE","Czechia","13-3","persuasion and negotiation",-0.024,,
"CZE","Czechia","13-4","social perceptiveness",-0.067,,
"CZE","Czechia","13","social skills",-0.084,,
"CZE","Czechia","14-1","training and education",0.007,,
"CZE","Czechia","14","training and education",0.014,,
"DNK","Denmark","01-1","fine arts",0.112,,
"DNK","Denmark","01-2","history and archaeology",0.103,,
"DNK","Denmark","01-3","philosophy and theology",-0.254,,
"DNK","Denmark","01","arts and humanities knowledge",0.016,,
"DNK","Denmark","02-1","adaptability/resilience",0.023,,
"DNK","Denmark","02-2","motivation/commitment",-0.187,,
"DNK","Denmark","02-3","self-management/rigour",-0.09,,
"DNK","Denmark","02-4","values",0.011,,
"DNK","Denmark","02","attitudes",-0.109,,
"DNK","Denmark","03-1","clerical",-0.405,,
"DNK","Denmark","03-2","customer and personal service",-0.343,,
"DNK","Denmark","03-3","sales and marketing",-0.069,,
"DNK","Denmark","03","business processes",-0.511,,
"DNK","Denmark","04-1","learning",0.277,,
"DNK","Denmark","04-2","originality",0.132,,
"DNK","Denmark","04-3","quantitative abilities",-0.033,,
"DNK","Denmark","04-4","reasoning and problem-solving",0.17,,
"DNK","Denmark","04","cognitive skills",0.284,,
"DNK","Denmark","05-1","active listening",-0.245,,
"DNK","Denmark","05-2","communications and media",0.036,,
"DNK","Denmark","05-3","reading comprehension",0.121,,
"DNK","Denmark","05-4","speaking",0.023,,
"DNK","Denmark","05-5","writing",0.061,,
"DNK","Denmark","05","communication skills",0.023,,
"DNK","Denmark","06-1","computer programming",0.199,,
"DNK","Denmark","06-2","digital content creation",0.22,,
"DNK","Denmark","06-3","digital data processing",0.046,,
"DNK","Denmark","06-4","ict safety, networks and servers",0.113,,
"DNK","Denmark","06-5","office tools and collaboration software",0.044,,
"DNK","Denmark","06-6","web development and cloud technologies",0.088,,
"DNK","Denmark","06","digital skills",0.244,,
"DNK","Denmark","07-1","law and government",0.086,,
"DNK","Denmark","07-2","public safety and security",0.011,,
"DNK","Denmark","07","law and public safety knowledge",0.099,,
"DNK","Denmark","08-1","medicine and dentistry",0.283,,
"DNK","Denmark","08-2","psychology, therapy, counselling",0.331,,
"DNK","Denmark","08","medicine knowledge",0.632,,
"DNK","Denmark","09-1","auditory and speech abilities",0.215,,
"DNK","Denmark","09-2","physical abilities",-0.23,,
"DNK","Denmark","09-3","psychomotor abilities",-0.038,,
"DNK","Denmark","09","physical skills",0.008,,
"DNK","Denmark","10-1","building and construction",0.028,,
"DNK","Denmark","10-2","design",0.034,,
"DNK","Denmark","10-3","engineering, mechanics and technology",0.213,,
"DNK","Denmark","10-4","food production",-0.347,,
"DNK","Denmark","10-5","installation and maintenance",-0.169,,
"DNK","Denmark","10-6","production and processing",0.228,,
"DNK","Denmark","10-7","quality control analysis",0.186,,
"DNK","Denmark","10-8","telecommunications",0.04,,
"DNK","Denmark","10-9","transportation",-0.31,,
"DNK","Denmark","10","production and technology knowledge",0.023,,
"DNK","Denmark","11-1","administration and management",0.092,,
"DNK","Denmark","11-2","management of financial resources",0.184,,
"DNK","Denmark","11-3","management of material resources",-0.487,,
"DNK","Denmark","11-4","management of personnel resources",0.108,,
"DNK","Denmark","11-5","time management",-0.01,,
"DNK","Denmark","11","resource management",0.003,,
"DNK","Denmark","12-1","biology",0.128,,
"DNK","Denmark","12-2","chemistry",0.278,,
"DNK","Denmark","12-3","geography",0.274,,
"DNK","Denmark","12-4","physics",0.187,,
"DNK","Denmark","12-5","sociology and anthropology",0.102,,
"DNK","Denmark","12","scientific knowledge",0.399,,
"DNK","Denmark","13-1","coordination",0.034,,
"DNK","Denmark","13-2","judgment and decision making",0.097,,
"DNK","Denmark","13-3","persuasion and negotiation",0.312,,
"DNK","Denmark","13-4","social perceptiveness",-0.125,,
"DNK","Denmark","13","social skills",0.179,,
"DNK","Denmark","14-1","training and education",0.255,,
"DNK","Denmark","14","training and education",0.524,,
"FIN","Finland","01-1","fine arts",0.101,,
"FIN","Finland","01-2","history and archaeology",-0.051,,
"FIN","Finland","01-3","philosophy and theology",0.017,,
"FIN","Finland","01","arts and humanities knowledge",0.054,,
"FIN","Finland","02-1","adaptability/resilience",0.011,,
"FIN","Finland","02-2","motivation/commitment",-0.34,,
"FIN","Finland","02-3","self-management/rigour",-0.204,,
"FIN","Finland","02-4","values",-0.04,,
"FIN","Finland","02","attitudes",-0.267,,
"FIN","Finland","03-1","clerical",-0.101,,
"FIN","Finland","03-2","customer and personal service",-0.488,,
"FIN","Finland","03-3","sales and marketing",-0.266,,
"FIN","Finland","03","business processes",-0.535,,
"FIN","Finland","04-1","learning",0.27,,
"FIN","Finland","04-2","originality",0.033,,
"FIN","Finland","04-3","quantitative abilities",-0.133,,
"FIN","Finland","04-4","reasoning and problem-solving",0.098,,
"FIN","Finland","04","cognitive skills",0.154,,
"FIN","Finland","05-1","active listening",-0.444,,
"FIN","Finland","05-2","communications and media",-0.067,,
"FIN","Finland","05-3","reading comprehension",0.118,,
"FIN","Finland","05-4","speaking",-0.031,,
"FIN","Finland","05-5","writing",0.061,,
"FIN","Finland","05","communication skills",-0.119,,
"FIN","Finland","06-1","computer programming",0.285,,
"FIN","Finland","06-2","digital content creation",0.444,,
"FIN","Finland","06-3","digital data processing",0.112,,
"FIN","Finland","06-4","ict safety, networks and servers",0.098,,
"FIN","Finland","06-5","office tools and collaboration software",0.019,,
"FIN","Finland","06-6","web development and cloud technologies",0.055,,
"FIN","Finland","06","digital skills",0.347,,
"FIN","Finland","07-1","law and government",0.1,,
"FIN","Finland","07-2","public safety and security",-0.02,,
"FIN","Finland","07","law and public safety knowledge",0.087,,
"FIN","Finland","08-1","medicine and dentistry",0.15,,
"FIN","Finland","08-2","psychology, therapy, counselling",0.27,,
"FIN","Finland","08","medicine knowledge",0.432,,
"FIN","Finland","09-1","auditory and speech abilities",0.113,,
"FIN","Finland","09-2","physical abilities",-0.402,,
"FIN","Finland","09-3","psychomotor abilities",-0.466,,
"FIN","Finland","09","physical skills",-0.451,,
"FIN","Finland","10-1","building and construction",-0.297,,
"FIN","Finland","10-2","design",-0.12,,
"FIN","Finland","10-3","engineering, mechanics and technology",0.187,,
"FIN","Finland","10-4","food production",-0.521,,
"FIN","Finland","10-5","installation and maintenance",-0.404,,
"FIN","Finland","10-6","production and processing",-0.029,,
"FIN","Finland","10-7","quality control analysis",0.127,,
"FIN","Finland","10-8","telecommunications",0.027,,
"FIN","Finland","10-9","transportation",-0.08,,
"FIN","Finland","10","production and technology knowledge",-0.209,,
"FIN","Finland","11-1","administration and management",-0.021,,
"FIN","Finland","11-2","management of financial resources",-0.044,,
"FIN","Finland","11-3","management of material resources",-0.446,,
"FIN","Finland","11-4","management of personnel resources",-0.065,,
"FIN","Finland","11-5","time management",-0.108,,
"FIN","Finland","11","resource management",-0.257,,
"FIN","Finland","12-1","biology",0.141,,
"FIN","Finland","12-2","chemistry",0.439,,
"FIN","Finland","12-3","geography",0.431,,
"FIN","Finland","12-4","physics",0.142,,
"FIN","Finland","12-5","sociology and anthropology",0.032,,
"FIN","Finland","12","scientific knowledge",0.487,,
"FIN","Finland","13-1","coordination",-0.103,,
"FIN","Finland","13-2","judgment and decision making",-0.046,,
"FIN","Finland","13-3","persuasion and negotiation",0.027,,
"FIN","Finland","13-4","social perceptiveness",-0.054,,
"FIN","Finland","13","social skills",-0.079,,
"FIN","Finland","14-1","training and education",0.084,,
"FIN","Finland","14","training and education",0.173,,
"FRA","France","01-1","fine arts",0.008,,
"FRA","France","01-2","history and archaeology",0.074,,
"FRA","France","01-3","philosophy and theology",-0.318,,
"FRA","France","01","arts and humanities knowledge",-0.131,,
"FRA","France","02-1","adaptability/resilience",-0.016,,
"FRA","France","02-2","motivation/commitment",-0.288,,
"FRA","France","02-3","self-management/rigour",-0.294,,
"FRA","France","02-4","values",0.025,,
"FRA","France","02","attitudes",-0.265,,
"FRA","France","03-1","clerical",-0.057,,
"FRA","France","03-2","customer and personal service",-0.311,,
"FRA","France","03-3","sales and marketing",-0.29,,
"FRA","France","03","business processes",-0.412,,
"FRA","France","04-1","learning",0.307,,
"FRA","France","04-2","originality",-0.125,,
"FRA","France","04-3","quantitative abilities",-0.25,,
"FRA","France","04-4","reasoning and problem-solving",-0.047,,
"FRA","France","04","cognitive skills",-0.008,,
"FRA","France","05-1","active listening",-0.274,,
"FRA","France","05-2","communications and media",-0.13,,
"FRA","France","05-3","reading comprehension",-0.066,,
"FRA","France","05-4","speaking",-0.122,,
"FRA","France","05-5","writing",-0.082,,
"FRA","France","05","communication skills",-0.255,,
"FRA","France","06-1","computer programming",-0.023,,
"FRA","France","06-2","digital content creation",0.008,,
"FRA","France","06-3","digital data processing",-0.101,,
"FRA","France","06-4","ict safety, networks and servers",-0.105,,
"FRA","France","06-5","office tools and collaboration software",-0.129,,
"FRA","France","06-6","web development and cloud technologies",-0.131,,
"FRA","France","06","digital skills",-0.15,,
"FRA","France","07-1","law and government",-0.025,,
"FRA","France","07-2","public safety and security",-0.143,,
"FRA","France","07","law and public safety knowledge",-0.158,,
"FRA","France","08-1","medicine and dentistry",0.129,,
"FRA","France","08-2","psychology, therapy, counselling",0.214,,
"FRA","France","08","medicine knowledge",0.353,,
"FRA","France","09-1","auditory and speech abilities",-0.078,,
"FRA","France","09-2","physical abilities",-0.296,,
"FRA","France","09-3","psychomotor abilities",-0.316,,
"FRA","France","09","physical skills",-0.432,,
"FRA","France","10-1","building and construction",0.021,,
"FRA","France","10-2","design",-0.027,,
"FRA","France","10-3","engineering, mechanics and technology",0.026,,
"FRA","France","10-4","food production",-0.111,,
"FRA","France","10-5","installation and maintenance",-0.39,,
"FRA","France","10-6","production and processing",-0.055,,
"FRA","France","10-7","quality control analysis",-0.038,,
"FRA","France","10-8","telecommunications",-0.071,,
"FRA","France","10-9","transportation",-0.054,,
"FRA","France","10","production and technology knowledge",-0.143,,
